pl_name,hostname,pl_letter,discoverymethod,disc_year,pl_orbper,pl_rade,pl_masse,sy_dist
Kepler-256 c,Kepler-256,c,Transit,2014,3.388011854,2.1,,1026.43
Kepler-1567 b,Kepler-1567,b,Transit,2016,153.979362,2.53,,1206.11
Kepler-652 b,Kepler-652,b,Transit,2016,4.182002531,2.57,,394.55
KELT-20 b,KELT-20,b,Transit,2017,3.4741085,19.514869,1074.90106,136.426
Kepler-337 c,Kepler-337,c,Transit,2014,9.693201,2.05,,677.975
TOI-4479 b,TOI-4479,b,Transit,2022,1.15890129424,2.68297219,,80.6532
Kepler-1137 b,Kepler-1137,b,Transit,2016,23.9210791,2.23,,921.778
Kepler-544 b,Kepler-544,b,Transit,2016,21.41616926,2.02,,963.18
Kepler-165 b,Kepler-165,b,Transit,2014,8.18086953,2.404,,560.885
Kepler-464 b,Kepler-464,b,Transit,2016,7.256962446,3.53,,667.604
Kepler-1772 b,Kepler-1772,b,Transit,2021,3.215106337,2.244,,871.564
Kepler-1642 b,Kepler-1642,b,Transit,2016,12.2064304,5.41,,413.873
Kepler-370 c,Kepler-370,c,Transit,2014,19.023152,1.91,,1167.94
Kepler-920 b,Kepler-920,b,Transit,2016,6.53192704,2.57,,1001.68
Kepler-1300 b,Kepler-1300,b,Transit,2016,22.2420032,2.04,,777.025
Kepler-463 b,Kepler-463,b,Transit,2016,8.981016833,3.62,,394.804
Kepler-1714 b,Kepler-1714,b,Transit,2021,10.27530003,3.26437302,,409.46
TOI-2498 b,TOI-2498,b,Transit,2023,3.738252,6.06,34.62,275.265
Kepler-1201 b,Kepler-1201,b,Transit,2016,15.18701,1.91,,944.241
Kepler-1894 c,Kepler-1894,c,Transit,2023,5.053618,1.17,,935.191
Kepler-633 c,Kepler-633,c,Transit,2021,23.783247,2.45,,680.54
WASP-6 b,WASP-6,b,Transit,2009,3.36100239,13.719816,153.51189,197.119
Kepler-659 b,Kepler-659,b,Transit,2016,17.671796,2.33,,722.64
NGTS-9 b,NGTS-9,b,Transit,2019,4.4352884,11.21102312,,609.128
Kepler-928 b,Kepler-928,b,Transit,2016,3.932461302,1.59,,508.809
Kepler-150 e,Kepler-150,e,Transit,2014,30.8264713,2.95,,891.092
K2-35 c,K2-35,c,Transit,2016,5.60906,1.69,,252.596
TOI-4329 b,TOI-4329,b,Transit,2022,2.9223,16.81347105,143.02278315,717.128
Kepler-784 c,Kepler-784,c,Transit,2023,17.157236,1.55,,1303.72
Kepler-724 b,Kepler-724,b,Transit,2016,3.314947362,3.94,,853.119
